,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Barrow,100,AR,1571631929,60,-38.31,-60.23,55.7,9.66
1,Longyearbyen,75,NO,1571631930,66,78.22,15.63,12.2,3.36
2,Butaritari,46,KI,1571631932,67,3.07,172.79,85.35,10.4
3,Sakaiminato,75,JP,1571631933,72,35.55,133.23,68.0,14.99
4,Tasiilaq,0,GL,1571631934,79,65.61,-37.64,21.2,4.7
5,Hami,0,CN,1571631936,17,42.84,93.51,55.36,3.09
6,Dikson,69,RU,1571631937,83,73.51,80.55,26.24,15.28
7,Chuy,100,UY,1571631938,79,-33.69,-53.46,57.36,9.53
8,Albany,90,US,1571631940,87,42.65,-73.75,46.99,3.36
9,Punta Arenas,0,CL,1571631944,76,-53.16,-70.91,39.2,13.87
10,Saryagash,47,KZ,1571631945,44,41.45,69.17,60.8,2.3
11,North Bend,90,US,1571631947,100,43.41,-124.22,57.0,6.93
12,Katangli,99,RU,1571631948,65,51.71,143.23,51.44,8.93
13,Ancud,75,CL,1571631949,93,-41.87,-73.83,41.0,5.82
14,Teahupoo,75,PF,1571631951,78,-17.83,-149.27,82.0,6.93
15,Cidreira,100,BR,1571631953,72,-30.17,-50.22,60.56,5.32
16,Bredasdorp,100,ZA,1571631954,62,-34.53,20.04,57.99,10.29
17,Khetia,100,IN,1571631955,79,21.67,74.59,73.56,5.14
18,Rikitea,94,PF,1571631956,73,-23.12,-134.97,70.39,15.19
19,Riga,90,LV,1571631958,100,56.95,24.11,53.6,2.24
20,New Norfolk,20,AU,1571631959,39,-42.78,147.06,66.2,11.41
21,Ponta Delgada,40,PT,1571631960,72,37.73,-25.67,60.8,8.05
22,Jamestown,35,AU,1571631962,16,-33.21,138.6,83.15,1.77
23,Cape Town,40,ZA,1571631963,71,-33.93,18.42,57.99,3.36
24,Loudi,0,CN,1571631964,29,27.73,112.0,78.53,3.94
25,Puerto Ayora,6,EC,1571631966,89,-0.74,-90.35,68.0,7.0
26,Bethel,90,US,1571631967,95,60.79,-161.76,35.6,6.93
27,Mataura,82,NZ,1571631969,76,-46.19,168.86,48.0,14.0
28,Thetford Mines,55,CA,1571631970,90,46.09,-71.3,42.01,3.6
29,Hobart,20,AU,1571631971,39,-42.88,147.33,66.2,11.41
30,Yellowknife,5,CA,1571631973,85,62.45,-114.38,23.0,4.7
